,6.00,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,19.03,,,,,,,,0.98,0.00,,,,0.021252625,0.019481573,0.017710521,0.015939469,0.014168417,0.012397365,0.010626313,0.008855261,0.007084208,0.005313156,0.003542104,0.001771052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,18.05,,,,,,,,0.98,0.01,,,,0.031805062,0.029358519,0.026911976,0.024465433,0.022018889,0.019572346,0.017125803,0.01467926,0.012232716,0.009786173,0.00733963,0.004893087,0.002446543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,17.07,,,,,,,,0.97,0.01,,,,0.046215737,0.042914613,0.039613489,0.036312365,0.033011241,0.029710116,0.026408992,0.023107868,0.019806744,0.01650562,0.013204496,0.009903372,0.006602248,0.003301124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,16.10,,,,,,,,0.96,0.01,,,,0.065403576,0.061043337,0.056683099,0.05232286,0.047962622,0.043602384,0.039242145,0.034881907,0.030521669,0.02616143,0.021801192,0.017440953,0.013080715,0.008720477,0.004360238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,15.14,,,,,,,,0.95,0.01,,,,0.090323265,0.084678061,0.079032857,0.073387653,0.067742449,0.062097245,0.056452041,0.050806837,0.045161633,0.039516429,0.033871224,0.02822602,0.022580816,0.016935612,0.011290408,0.005645204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,14.18,,,,,,,,0.94,0.01,,,,0.121901199,0.11473054,0.107559882,0.100389223,0.093218564,0.086047905,0.078877246,0.071706588,0.064535929,0.05736527,0.050194611,0.043023953,0.035853294,0.028682635,0.021511976,0.014341318,0.007170659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,13.24,,,,,,,,0.92,0.02,,,,0.161032138,0.152085908,0.143139678,0.134193448,0.125247218,0.116300988,0.107354759,0.098408529,0.089462299,0.080516069,0.071569839,0.062623609,0.053677379,0.044731149,0.03578492,0.02683869,0.01789246,0.00894623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,12.32,,,,,,,,0.90,0.02,,,,0.20857469,0.197597075,0.18661946,0.175641844,0.164664229,0.153686614,0.142708998,0.131731383,0.120753768,0.109776153,0.098798537,0.087820922,0.076843307,0.065865692,0.054888076,0.043910461,0.032932846,0.021955231,0.010977615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,11.42,,,,,,,,0.88,0.02,,,,0.26510768,0.251852296,0.238596912,0.225341528,0.212086144,0.19883076,0.185575376,0.172319992,0.159064608,0.145809224,0.13255384,0.119298456,0.106043072,0.092787688,0.079532304,0.06627692,0.053021536,0.039766152,0.026510768,0.013255384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,10.53,10.33,10.12,9.91,9.71,9.50,,,0.86,0.02,,,,0.331056678,0.315292074,0.299527471,0.283762867,0.267998263,0.252233659,0.236469056,0.220704452,0.204939848,0.189175245,0.173410641,0.157646037,0.141881433,0.12611683,0.110352226,0.094587622,0.078823019,0.063058415,0.047293811,0.031529207,0.015764604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
